index	number	name	value
0	101	苹果园	0
1	102	古城	0
2	103	八角游乐园	0
3	104	八宝山	0
4	105	玉泉路	0
5	106	五棵松	0
6	107	万寿路	0
7	108	公主坟	0
8	109	军事博物馆	0
9	110	木樨地	0
10	111	南礼士路	0
11	112	复兴门	0
12	113	西单	0
13	114	天安门西	0
14	115	天安门东	0
15	116	王府井	0
16	117	东单	0
17	118	建国门	0
18	119	永安里	0
19	120	国贸	0
20	121	大望路	0
21	122	四惠	0
22	123	四惠东	0
23	201	积水潭	0
24	202	鼓楼大街	0
25	203	安定门	0
26	204	雍和宫	0
27	205	东直门	0
28	206	东四十条	0
29	207	朝阳门	0
30	208	建国门	0
31	209	北京站	0
32	210	崇文门	0
33	211	前门	0
34	212	和平门	0
35	213	宣武门	0
36	214	长椿街	0
37	215	复兴门	0
38	216	阜成门	0
39	217	车公庄	0
40	218	西直门	0
41	401	安河桥北	0
42	402	北宫门	0
43	403	西苑	0
44	404	圆明园	0
45	405	北京大学东门	0
46	406	中关村	0
47	407	海淀黄庄	0
48	408	人民大学	0
49	409	魏公村	0
50	410	国家图书馆	0
51	411	动物园	0
52	412	西直门	0
53	413	新街口	0
54	414	平安里	0
55	415	西四	0
56	416	灵境胡同	0
57	417	西单	0
58	418	宣武门	0
59	419	菜市口	0
60	420	陶然亭	0
61	421	北京南站	0
62	422	马家堡	0
63	423	角门西	0
64	424	公益西桥	0
65	425	新宫	0
66	426	西红门	0
67	427	高米店北	0
68	428	高米店南	0
69	429	枣园	0
70	430	清源路	0
71	431	黄村西大街	0
72	432	黄村火车站	0
73	433	义和庄	0
74	434	生物医药基地	0
75	435	天宫院	0
76	501	天通苑北	0
77	502	天通苑	0
78	503	天通苑南	0
79	504	立水桥	0
80	505	立水桥南	0
81	506	北苑路北	0
82	507	大屯路东	0
83	508	惠新西街北口	0
84	509	惠新西街南口	0
85	510	和平西桥	0
86	511	和平里北街	0
87	512	雍和宫	0
88	513	北新桥	0
89	514	张自忠路	0
90	515	东四	0
91	516	灯市口	0
92	517	东单	0
93	518	崇文门	0
94	519	磁器口	0
95	520	天坛东门	0
96	521	蒲黄榆	0
97	522	刘家窑	0
98	523	宋家庄	0
