source	source_number	source_name	target	target_number	target_name	distance	line_number
0	101	苹果园	1	102	古城	5	1
1	102	古城	2	103	八角游乐园	3	1
2	103	八角游乐园	3	104	八宝山	3	1
3	104	八宝山	4	105	玉泉路	3	1
4	105	玉泉路	5	106	五棵松	3	1
5	106	五棵松	6	107	万寿路	3	1
6	107	万寿路	7	108	公主坟	3	1
7	108	公主坟	8	109	军事博物馆	2	1
8	109	军事博物馆	9	110	木樨地	2	1
9	110	木樨地	10	111	南礼士路	3	1
10	111	南礼士路	11	112	复兴门	2	1
11	112	复兴门	12	113	西单	3	1
12	113	西单	13	114	天安门西	2	1
13	114	天安门西	14	115	天安门东	2	1
14	115	天安门东	15	116	王府井	2	1
15	116	王府井	16	117	东单	2	1
16	117	东单	17	118	建国门	4	1
17	118	建国门	18	119	永安里	2	1
18	119	永安里	19	120	国贸	2	1
19	120	国贸	20	121	大望路	3	1
20	121	大望路	21	122	四惠	3	1
21	122	四惠	22	123	四惠东	3	1
1	102	古城	0	101	苹果园	5	1
2	103	八角游乐园	1	102	古城	3	1
3	104	八宝山	2	103	八角游乐园	3	1
4	105	玉泉路	3	104	八宝山	3	1
5	106	五棵松	4	105	玉泉路	3	1
6	107	万寿路	5	106	五棵松	3	1
7	108	公主坟	6	107	万寿路	3	1
8	109	军事博物馆	7	108	公主坟	2	1
9	110	木樨地	8	109	军事博物馆	2	1
10	111	南礼士路	9	110	木樨地	3	1
11	112	复兴门	10	111	南礼士路	2	1
12	113	西单	11	112	复兴门	3	1
13	114	天安门西	12	113	西单	2	1
14	115	天安门东	13	114	天安门西	2	1
15	116	王府井	14	115	天安门东	2	1
16	117	东单	15	116	王府井	2	1
17	118	建国门	16	117	东单	4	1
18	119	永安里	17	118	建国门	2	1
19	120	国贸	18	119	永安里	2	1
20	121	大望路	19	120	国贸	3	1
21	122	四惠	20	121	大望路	3	1
22	123	四惠东	21	122	四惠	3	1
23	201	积水潭	24	202	鼓楼大街	3	2
24	202	鼓楼大街	25	203	安定门	2	2
25	203	安定门	26	204	雍和宫	2	2
26	204	雍和宫	27	205	东直门	4	2
27	205	东直门	28	206	东四十条	3	2
28	206	东四十条	29	207	朝阳门	2	2
29	207	朝阳门	30	208	建国门	3	2
30	208	建国门	31	209	北京站	3	2
31	209	北京站	32	210	崇文门	4	2
